Time,ForceX,ForceY,ForceZ,ForceRez,YawG,PitchG,RollG,AccelX,AccelY,AccelZ,AccRMS,RST,GyroRMS,,,,,,,Label,Technique
0.01,-0.01,0.49,0.01,0.49,179.959,0.184,0.044,0.025,-0.141,0.99,1,0,51.7,,,,,,,Random,N/A
0.02,-0.02,0.47,0.03,0.47,179.856,0.59,0.108,0.012,-0.179,0.984,1,0,29.45,,,,,,,Random,N/A
0.03,-0.01,0.47,0.04,0.47,179.731,0.779,0.099,0.016,-0.207,0.978,1,0,17.77,,,,,,,Random,N/A
0.04,-0.02,0.46,0.06,0.46,179.577,0.815,0.05,0.036,-0.189,0.981,1,0,18.69,,,,,,,Random,N/A
0.05,-0.01,0.45,0.05,0.46,179.394,0.77,0,0.067,-0.184,0.981,1,0,21.03,,,,,,,Random,N/A
0.06,-0.01,0.45,0.06,0.45,179.199,0.681,-0.038,0.076,-0.144,0.987,1,0,19.65,,,,,,,Random,N/A
0.07,0,0.45,0.07,0.45,179.016,0.621,-0.08,0.083,-0.11,0.991,1,0,16.04,,,,,,,Random,N/A
0.08,0,0.45,0.07,0.46,178.868,0.536,-0.132,0.088,-0.109,0.99,1,0,12.09,,,,,,,Random,N/A
0.09,0,0.45,0.07,0.45,178.757,0.432,-0.202,0.085,-0.123,0.989,1,0,9.06,,,,,,,Random,N/A
0.1,0,0.44,0.09,0.45,178.68,0.328,-0.286,0.085,-0.129,0.988,1,0,5.95,,,,,,,Random,N/A
0.11,0,0.44,0.09,0.45,178.633,0.234,-0.374,0.08,-0.132,0.988,1,0,3.15,,,,,,,Random,N/A
0.12,0.01,0.43,0.1,0.44,178.611,0.163,-0.458,0.068,-0.133,0.989,1,0,2.11,,,,,,,Random,N/A
0.13,0.01,0.42,0.09,0.43,178.61,0.121,-0.538,0.056,-0.125,0.991,1,0,4.83,,,,,,,Random,N/A
0.14,0.02,0.43,0.08,0.43,178.631,0.111,-0.61,0.045,-0.115,0.992,1,0,7.71,,,,,,,Random,N/A
0.15,0.03,0.44,0.08,0.45,178.672,0.123,-0.674,0.036,-0.115,0.993,1,0,9.7,,,,,,,Random,N/A
0.16,0.02,0.43,0.07,0.44,178.726,0.151,-0.726,0.021,-0.124,0.992,1,0,11.78,,,,,,,Random,N/A
0.17,0.01,0.44,0.06,0.45,178.781,0.208,-0.762,0.014,-0.135,0.991,1,0,14.38,,,,,,,Random,N/A
0.18,0.01,0.45,0.05,0.45,178.827,0.294,-0.776,0.005,-0.136,0.991,1,0,17.6,,,,,,,Random,N/A
0.19,0.01,0.46,0.05,0.46,178.854,0.412,-0.764,-0.006,-0.136,0.991,1,0,19.63,,,,,,,Random,N/A
0.2,-0.01,0.46,0.05,0.46,178.857,0.547,-0.733,-0.013,-0.139,0.99,1,0,20.81,,,,,,,Random,N/A
0.21,0,0.45,0.05,0.46,178.835,0.687,-0.692,-0.019,-0.146,0.989,1,0,20.73,,,,,,,Random,N/A
0.22,0,0.45,0.05,0.45,178.786,0.823,-0.654,-0.018,-0.144,0.989,1,0,21.02,,,,,,,Random,N/A
0.23,-0.01,0.46,0.04,0.46,178.708,0.952,-0.616,-0.014,-0.146,0.989,1,0,23.16,,,,,,,Random,N/A
0.24,0,0.46,0.04,0.46,178.6,1.084,-0.569,-0.014,-0.134,0.991,1,0,26.6,,,,,,,Random,N/A
