Time,ForceX,ForceY,ForceZ,ForceRez,YawG,PitchG,RollG,AccelX,AccelY,AccelZ,AccRMS,RST,GyroRMS,,,,,,,Label,Technique
0.01,0,0.49,0.01,0.49,180.034,-0.291,-0.066,0.109,-0.259,0.96,1,0,70.96,,,,,,,Random,N/A
0.02,0.01,0.49,0.03,0.49,180.102,-1.007,-0.182,0.111,-0.332,0.937,1,0,53.85,,,,,,,Random,N/A
0.03,0.03,0.48,0.06,0.48,180.158,-1.635,-0.296,0.147,-0.361,0.921,1,0,39.98,,,,,,,Random,N/A
0.04,0.03,0.47,0.08,0.48,180.18,-2.073,-0.378,0.16,-0.338,0.928,1,0,45.06,,,,,,,Random,N/A
0.05,0.04,0.47,0.09,0.48,180.19,-2.576,-0.426,0.175,-0.341,0.924,1,0,54.92,,,,,,,Random,N/A
0.06,0.05,0.46,0.12,0.48,180.168,-3.15,-0.427,0.238,-0.361,0.902,1,0,39.51,,,,,,,Random,N/A
0.07,0.06,0.44,0.13,0.47,180.06,-3.382,-0.381,0.173,-0.365,0.915,1,0,67.27,,,,,,,Random,N/A
0.08,0.06,0.44,0.14,0.47,179.741,-2.753,-0.253,0.162,-0.278,0.947,1,0,100.07,,,,,,,Random,N/A
0.09,0.05,0.44,0.16,0.47,179.224,-1.998,-0.005,0.101,-0.233,0.967,1,0,105.1,,,,,,,Random,N/A
0.1,0.06,0.44,0.16,0.48,178.607,-1.282,0.346,0.068,-0.205,0.976,1,0,113.46,,,,,,,Random,N/A
0.11,0.07,0.44,0.18,0.48,177.98,-0.518,0.784,0.041,-0.173,0.984,1,0,114.98,,,,,,,Random,N/A
0.12,0.08,0.44,0.17,0.48,177.629,-0.059,1.079,0.03,-0.152,0.988,1,0,112.01,,,,,,,Random,N/A
0.13,0.07,0.44,0.17,0.48,177.109,0.656,1.601,0.004,-0.124,0.992,1,0,102.48,,,,,,,Random,N/A
0.14,0.08,0.44,0.15,0.47,176.714,1.285,2.14,0,-0.104,0.995,1,0,90.13,,,,,,,Random,N/A
0.15,0.09,0.44,0.13,0.47,176.473,1.809,2.66,-0.01,-0.11,0.994,1,0,76.08,,,,,,,Random,N/A
0.16,0.09,0.46,0.12,0.48,176.393,2.236,3.122,-0.011,-0.098,0.995,1,0,62.29,,,,,,,Random,N/A
0.17,0.09,0.48,0.11,0.5,176.463,2.544,3.494,0.043,-0.098,0.994,1,0,42.43,,,,,,,Random,N/A
0.18,0.08,0.48,0.12,0.5,176.623,2.458,3.75,0.022,-0.09,0.996,1,0,45.94,,,,,,,Random,N/A
0.19,0.07,0.49,0.1,0.5,176.801,2.106,3.852,0.026,-0.081,0.996,1,0,21.79,,,,,,,Random,N/A
0.2,0.06,0.51,0.08,0.52,176.988,2.06,3.813,0.022,-0.061,0.998,1,0,17.88,,,,,,,Random,N/A
0.21,0.07,0.52,0.07,0.53,177.12,2.105,3.676,0.003,-0.052,0.999,1,0,15.3,,,,,,,Random,N/A
0.22,0.07,0.52,0.07,0.53,177.162,2.185,3.47,0.015,-0.092,0.996,1,0,19.97,,,,,,,Random,N/A
0.23,0.05,0.53,0.07,0.54,177.083,2.234,3.184,0.134,-0.294,0.946,1,0,45.57,,,,,,,Random,N/A
0.24,0.05,0.53,0.07,0.54,176.748,1.869,2.642,-0.017,-0.197,0.98,1,0,126.76,,,,,,,Random,N/A
0.25,0.03,0.52,0.07,0.53,175.905,1.111,1.437,-0.041,-0.043,0.998,1,0,145.75,,,,,,,Random,N/A
0.26,0.04,0.52,0.09,0.53,174.873,1.739,0.059,-0.001,-0.077,0.997,1,0,129.38,,,,,,,Random,N/A
0.27,0.04,0.51,0.1,0.52,174.048,1.951,-0.981,-0.053,-0.071,0.996,1,0,111.35,,,,,,,Random,N/A
0.28,0.05,0.49,0.09,0.51,173.336,1.954,-1.899,-0.009,-0.1,0.995,1,0,85.89,,,,,,,Random,N/A
0.29,0.06,0.48,0.11,0.5,172.882,2.216,-2.595,0.007,-0.153,0.988,1,0,45.52,,,,,,,Random,N/A
0.3,0.09,0.46,0.11,0.48,172.742,2.326,-3.006,0.002,-0.157,0.988,1,0,14.05,,,,,,,Random,N/A
0.31,0.11,0.47,0.11,0.5,172.871,2.375,-3.151,0.002,-0.151,0.988,1,0,40.01,,,,,,,Random,N/A
0.32,0.11,0.47,0.12,0.49,173.178,2.61,-3.075,-0.012,-0.156,0.988,1,0,61.73,,,,,,,Random,N/A
0.33,0.09,0.47,0.13,0.49,173.568,2.958,-2.841,-0.038,-0.148,0.988,1,0,69.93,,,,,,,Random,N/A
0.34,0.09,0.46,0.13,0.49,173.941,3.35,-2.494,-0.072,-0.125,0.99,1,0,72.39,,,,,,,Random,N/A
0.35,0.09,0.46,0.13,0.49,174.216,3.793,-2.073,-0.1,-0.089,0.991,1,0,67.08,,,,,,,Random,N/A
0.36,0.08,0.46,0.11,0.48,174.344,4.187,-1.629,-0.095,-0.085,0.992,1,0,54.95,,,,,,,Random,N/A
0.37,0.08,0.46,0.11,0.48,174.336,4.327,-1.386,-0.082,-0.099,0.992,1,0,50.55,,,,,,,Random,N/A
