Time,ForceX,ForceY,ForceZ,ForceRez,YawG,PitchG,RollG,AccelX,AccelY,AccelZ,AccRMS,RST,GyroRMS,,,,,,,Label,Technique
0.01,0,0.48,0.01,0.48,179.986,-0.009,-0.102,0.022,-0.191,0.981,1,0,13.12,,,,,,,Random,N/A
0.02,0.01,0.48,0.01,0.48,179.975,-0.058,-0.336,0.026,-0.19,0.981,1,0,11.72,,,,,,,Random,N/A
0.03,0.01,0.47,0.02,0.47,179.982,-0.127,-0.538,0.027,-0.194,0.981,1,0,9.53,,,,,,,Random,N/A
0.04,0.01,0.48,0.02,0.48,180.015,-0.251,-0.681,0.086,-0.204,0.975,1,0,17.45,,,,,,,Random,N/A
0.05,0.02,0.48,0.02,0.48,180.079,-0.422,-0.772,-0.009,-0.208,0.978,1,0,14.11,,,,,,,Random,N/A
0.06,0.02,0.48,0.03,0.48,180.169,-0.529,-0.839,-0.007,-0.174,0.985,1,0,17.7,,,,,,,Random,N/A
0.07,0.02,0.49,0.03,0.49,180.263,-0.611,-0.849,-0.03,-0.148,0.989,1,0,17.55,,,,,,,Random,N/A
0.08,0.02,0.49,0.04,0.49,180.346,-0.613,-0.8,-0.028,-0.156,0.987,1,0,20.07,,,,,,,Random,N/A
0.09,0.03,0.49,0.04,0.49,180.413,-0.561,-0.71,-0.028,-0.171,0.985,1,0,23.8,,,,,,,Random,N/A
0.1,0.03,0.48,0.04,0.48,180.464,-0.456,-0.591,-0.034,-0.178,0.983,1,0,26.85,,,,,,,Random,N/A
0.11,0.03,0.49,0.05,0.49,180.498,-0.317,-0.456,-0.036,-0.175,0.984,1,0,27.4,,,,,,,Random,N/A
0.12,0.04,0.48,0.07,0.49,180.509,-0.206,-0.348,-0.036,-0.179,0.983,1,0,26.34,,,,,,,Random,N/A
0.13,0.05,0.47,0.08,0.48,180.516,-0.089,-0.219,-0.037,-0.168,0.985,1,0,23.38,,,,,,,Random,N/A
0.14,0.04,0.47,0.08,0.48,180.511,-0.012,-0.109,-0.036,-0.162,0.986,1,0,20.64,,,,,,,Random,N/A
0.15,0.04,0.47,0.1,0.49,180.49,0.022,-0.021,-0.033,-0.149,0.988,1,0,18.71,,,,,,,Random,N/A
0.16,0.04,0.48,0.09,0.49,180.454,0.017,0.046,-0.027,-0.149,0.988,1,0,17.46,,,,,,,Random,N/A
0.17,0.04,0.48,0.1,0.49,180.405,-0.003,0.093,-0.02,-0.152,0.988,1,0,15.72,,,,,,,Random,N/A
0.18,0.04,0.49,0.12,0.5,180.346,-0.025,0.116,0,-0.161,0.987,1,0,13.85,,,,,,,Random,N/A
0.19,0.05,0.47,0.12,0.49,180.283,-0.057,0.118,0.022,-0.181,0.983,1,0,12.37,,,,,,,Random,N/A
0.2,0.06,0.47,0.12,0.48,180.227,-0.087,0.111,0.037,-0.213,0.976,1,0,11.95,,,,,,,Random,N/A
0.21,0.06,0.48,0.12,0.5,180.18,-0.098,0.108,0.051,-0.231,0.972,1,0,12.57,,,,,,,Random,N/A
0.22,0.06,0.49,0.12,0.51,180.155,-0.083,0.116,0.058,-0.226,0.972,1,0,14.86,,,,,,,Random,N/A
0.23,0.06,0.49,0.11,0.51,180.168,-0.033,0.15,0.054,-0.056,0.997,1,0,17.12,,,,,,,Random,N/A
0.24,0.06,0.49,0.09,0.5,180.212,-0.008,0.196,-0.028,-0.068,0.997,1,0,12.87,,,,,,,Random,N/A
0.25,0.05,0.49,0.08,0.5,180.303,-0.005,0.18,-0.022,-0.132,0.991,1,0,13.78,,,,,,,Random,N/A
0.26,0.04,0.51,0.07,0.52,180.42,0.049,0.137,-0.024,-0.126,0.992,1,0,17.65,,,,,,,Random,N/A
0.27,0.06,0.51,0.07,0.52,180.528,0.198,0.065,-0.042,-0.095,0.995,1,0,16.24,,,,,,,Random,N/A
0.28,0.05,0.51,0.07,0.52,180.623,0.364,-0.028,-0.058,-0.094,0.994,1,0,14.68,,,,,,,Random,N/A
0.29,0.05,0.51,0.06,0.51,180.712,0.534,-0.14,-0.067,-0.084,0.994,1,0,14.19,,,,,,,Random,N/A
0.3,0.03,0.5,0.06,0.51,180.796,0.704,-0.249,-0.075,-0.082,0.994,1,0,12.35,,,,,,,Random,N/A
0.31,0.03,0.49,0.04,0.5,180.872,0.863,-0.342,-0.085,-0.095,0.992,1,0,10.7,,,,,,,Random,N/A
0.32,0.03,0.51,0.04,0.51,180.936,1.018,-0.41,-0.095,-0.094,0.991,1,0,11.37,,,,,,,Random,N/A
0.33,0.02,0.5,0.03,0.5,180.983,1.193,-0.44,-0.11,-0.089,0.99,1,0,13.42,,,,,,,Random,N/A
0.34,0.01,0.49,0.03,0.49,181.011,1.389,-0.429,-0.127,-0.092,0.988,1,0,15.97,,,,,,,Random,N/A
0.35,0.01,0.48,0.03,0.49,181.022,1.646,-0.367,-0.14,-0.094,0.986,1,0,19.37,,,,,,,Random,N/A
0.36,0,0.47,0.05,0.47,181.02,1.785,-0.315,-0.153,-0.092,0.984,1,0,24.32,,,,,,,Random,N/A
0.37,0.01,0.48,0.05,0.48,181.004,2.041,-0.183,-0.17,-0.081,0.982,1,0,31.76,,,,,,,Random,N/A
0.38,0.01,0.45,0.05,0.46,180.981,2.348,0.023,-0.183,-0.059,0.981,1,0,39.78,,,,,,,Random,N/A
0.39,-0.01,0.44,0.04,0.44,180.954,2.693,0.315,-0.198,-0.044,0.979,1,0,47.62,,,,,,,Random,N/A
0.4,-0.01,0.44,0.05,0.44,180.925,3.07,0.692,-0.212,-0.039,0.976,1,0,57.68,,,,,,,Random,N/A
0.41,-0.01,0.44,0.04,0.44,180.894,3.5,1.158,-0.222,-0.049,0.974,1,0,69.52,,,,,,,Random,N/A
0.42,-0.01,0.44,0.05,0.44,180.853,3.98,1.719,-0.222,-0.064,0.973,1,0,81.7,,,,,,,Random,N/A
0.43,-0.01,0.43,0.05,0.44,180.79,4.493,2.378,-0.229,-0.097,0.969,1,0,93.94,,,,,,,Random,N/A
0.44,0,0.42,0.05,0.42,180.7,5.017,3.143,-0.218,-0.102,0.971,1,0,105.6,,,,,,,Random,N/A
0.45,0.01,0.41,0.06,0.41,180.582,5.52,4.004,0.243,-0.262,0.934,1,0,123.56,,,,,,,Random,N/A
0.46,0.03,0.4,0.06,0.41,180.55,6.19,4.995,0.05,-0.109,0.993,1,0,136.44,,,,,,,Random,N/A
0.47,0.03,0.4,0.05,0.4,180.779,6.72,6.102,-0.015,-0.052,0.999,1,0,131.82,,,,,,,Random,N/A
0.48,0.02,0.41,0.04,0.41,181.178,7.239,7.454,-0.105,-0.055,0.993,1,0,132.31,,,,,,,Random,N/A
0.49,0.02,0.41,0.03,0.41,181.57,7.612,8.585,-0.13,-0.061,0.99,1,0,131.47,,,,,,,Random,N/A
0.5,0,0.41,0.04,0.41,181.97,8.01,9.742,-0.159,-0.044,0.986,1,0,138.82,,,,,,,Random,N/A
0.51,0.01,0.43,0.04,0.43,182.407,8.534,10.935,-0.064,-0.062,0.996,1,0,146.93,,,,,,,Random,N/A
0.52,0.01,0.43,0.04,0.43,182.909,9.072,12.176,-0.061,0.043,0.997,1,0,150.65,,,,,,,Random,N/A
0.53,0,0.45,0.02,0.45,183.467,9.503,13.458,-0.105,0.126,0.986,1,0,146.13,,,,,,,Random,N/A
0.54,0,0.45,0.02,0.45,184.048,9.804,14.721,-0.132,0.128,0.983,1,0,140.21,,,,,,,Random,N/A
0.55,0,0.47,0,0.47,184.626,10.027,15.911,-0.195,0.17,0.966,1,0,128.49,,,,,,,Random,N/A
0.56,-0.01,0.48,-0.01,0.48,185.152,10.186,16.991,-0.27,0.186,0.945,1,0,113.21,,,,,,,Random,N/A
0.57,-0.03,0.5,-0.03,0.5,185.569,10.311,17.974,-0.314,0.194,0.929,1,0,98.95,,,,,,,Random,N/A
0.58,-0.06,0.51,-0.04,0.51,185.847,10.452,18.859,-0.331,0.2,0.922,1,0,89.31,,,,,,,Random,N/A
0.59,-0.09,0.5,-0.06,0.52,185.98,10.652,19.668,-0.325,0.235,0.916,1,0,83.74,,,,,,,Random,N/A
0.6,-0.1,0.5,-0.06,0.51,185.94,10.893,20.577,-0.3,0.285,0.91,1,0,82.9,,,,,,,Random,N/A
0.61,-0.1,0.5,-0.07,0.51,185.768,11.007,21.16,-0.27,0.319,0.909,1,0,86.77,,,,,,,Random,N/A
0.62,-0.11,0.5,-0.09,0.52,185.456,11.12,21.879,-0.242,0.341,0.908,1,0,89.68,,,,,,,Random,N/A
0.63,-0.1,0.5,-0.11,0.52,185.095,11.245,22.588,-0.211,0.354,0.911,1,0,90.48,,,,,,,Random,N/A
0.64,-0.07,0.51,-0.12,0.53,184.736,11.293,23.277,-0.029,0.362,0.932,1,0,89.48,,,,,,,Random,N/A
0.65,-0.04,0.51,-0.14,0.53,184.487,11.352,24.038,0.198,0.33,0.923,1,0,89.11,,,,,,,Random,N/A
0.66,-0.02,0.53,-0.15,0.55,184.505,11.538,24.838,0.102,0.231,0.968,1,0,89.84,,,,,,,Random,N/A
0.67,-0.03,0.55,-0.14,0.57,184.878,11.627,25.646,-0.07,0.148,0.987,1,0,96,,,,,,,Random,N/A
0.68,-0.02,0.57,-0.13,0.58,185.493,11.657,26.317,-0.073,0.131,0.989,1,0,81.89,,,,,,,Random,N/A
0.69,-0.02,0.57,-0.12,0.58,186.122,11.747,26.675,-0.191,0.194,0.962,1,0,61.82,,,,,,,Random,N/A
0.7,-0.04,0.55,-0.12,0.56,186.625,11.874,26.693,-0.372,0.298,0.879,1,0,42.96,,,,,,,Random,N/A
0.71,-0.04,0.54,-0.12,0.56,186.941,12.017,26.583,-0.393,0.445,0.805,1,0,22.36,,,,,,,Random,N/A
0.72,-0.04,0.54,-0.12,0.55,187.037,12.065,26.574,-0.361,0.462,0.81,1,0,14.21,,,,,,,Random,N/A
0.73,-0.03,0.54,-0.12,0.56,186.93,12.031,26.628,-0.296,0.417,0.86,1,0,37.09,,,,,,,Random,N/A
0.74,-0.01,0.54,-0.1,0.55,186.677,11.945,26.779,-0.213,0.378,0.901,1,0,41.8,,,,,,,Random,N/A
0.75,-0.01,0.52,-0.11,0.53,186.453,11.735,26.966,-0.141,0.372,0.917,1,0,47.41,,,,,,,Random,N/A
0.76,-0.03,0.53,-0.11,0.54,186.375,11.51,27.301,-0.187,0.393,0.9,1,0,49.59,,,,,,,Random,N/A
0.77,-0.05,0.52,-0.11,0.54,186.558,11.466,27.761,-0.113,0.406,0.907,1,0,68.38,,,,,,,Random,N/A
0.78,-0.07,0.5,-0.12,0.52,186.92,11.479,28.32,-0.18,0.402,0.898,1,0,67.42,,,,,,,Random,N/A
0.79,-0.07,0.46,-0.13,0.48,187.217,11.362,28.88,-0.423,0.248,0.872,1,0,71.99,,,,,,,Random,N/A
0.8,-0.07,0.42,-0.15,0.45,187.203,10.498,29.563,-0.298,0.419,0.858,1,0,227.27,,,,,,,Random,N/A
0.81,-0.07,0.4,-0.15,0.43,186.836,8.628,30.479,-0.305,0.404,0.862,1,0,222.88,,,,,,,Random,N/A
0.82,-0.05,0.41,-0.14,0.44,186.492,6.841,31.505,-0.225,0.363,0.904,1,0,220.4,,,,,,,Random,N/A
0.83,-0.02,0.42,-0.15,0.44,186.047,5.047,32.433,-0.12,0.372,0.921,1,0,213.61,,,,,,,Random,N/A
0.84,0,0.42,-0.14,0.44,185.547,3.326,33.193,-0.06,0.386,0.92,1,0,182.76,,,,,,,Random,N/A
0.85,0.01,0.42,-0.15,0.44,185.004,1.593,33.949,-0.038,0.473,0.88,1,0,131.58,,,,,,,Random,N/A
0.86,0.01,0.39,-0.16,0.42,184.726,0.727,34.363,0.009,0.519,0.855,1,0,131.9,,,,,,,Random,N/A
0.87,0.03,0.38,-0.16,0.41,184.311,-0.436,34.967,0.059,0.598,0.799,1,0,145.81,,,,,,,Random,N/A
0.88,0.04,0.37,-0.16,0.4,183.826,-1.739,35.633,0.057,0.506,0.861,1,0,147.69,,,,,,,Random,N/A
0.89,0.05,0.37,-0.15,0.4,183.401,-3.004,36.255,0.121,0.524,0.843,1,0,149.64,,,,,,,Random,N/A
0.9,0.07,0.37,-0.14,0.41,183.114,-4.314,36.98,0.133,0.567,0.813,1,0,150.18,,,,,,,Random,N/A
0.91,0.08,0.38,-0.15,0.42,182.949,-5.653,37.806,0.135,0.6,0.789,1,0,157.2,,,,,,,Random,N/A
0.92,0.09,0.38,-0.15,0.42,182.832,-7.028,38.726,0.135,0.624,0.77,1,0,160.67,,,,,,,Random,N/A
0.93,0.1,0.38,-0.17,0.43,182.675,-8.358,39.773,0.169,0.65,0.741,1,0,159.15,,,,,,,Random,N/A
0.94,0.12,0.37,-0.19,0.43,182.385,-9.62,40.908,0.224,0.657,0.72,1,0,159.62,,,,,,,Random,N/A
0.95,0.14,0.37,-0.21,0.45,181.933,-10.853,42.042,0.269,0.662,0.7,1,0,156.61,,,,,,,Random,N/A
0.96,0.16,0.37,-0.21,0.45,181.365,-12.024,43.139,0.318,0.636,0.703,1,0,152.16,,,,,,,Random,N/A
