Time,ForceX,ForceY,ForceZ,ForceRez,YawG,PitchG,RollG,AccelX,AccelY,AccelZ,AccRMS,RST,GyroRMS,,,,,,,Label,Technique
0.01,0.01,0.48,-0.03,0.48,180.296,0.141,-0.285,-0.006,0.594,0.804,1,0,110.57,,,,,,,Random,N/A
0.02,0.01,0.47,-0.05,0.47,181.052,0.398,-0.894,0.089,0.588,0.804,1,0,102.87,,,,,,,Random,N/A
0.03,0.02,0.46,-0.07,0.47,181.796,0.95,-1.324,0.127,0.6,0.79,1,0,153.29,,,,,,,Random,N/A
0.04,0.01,0.46,-0.08,0.47,182.465,2.264,-1.637,-0.07,0.616,0.785,1,0,139.76,,,,,,,Random,N/A
0.05,0.01,0.46,-0.09,0.47,183.091,3.285,-1.931,-0.093,0.577,0.811,1,0,82.18,,,,,,,Random,N/A
0.06,0,0.45,-0.11,0.46,183.702,3.415,-2.263,-0.001,0.483,0.875,1,0,87.47,,,,,,,Random,N/A
0.07,0,0.43,-0.1,0.44,184.302,3,-2.621,0.123,0.416,0.901,1,0,71.06,,,,,,,Random,N/A
0.08,0,0.41,-0.12,0.43,184.795,3.012,-2.937,0.111,0.436,0.893,1,0,70.43,,,,,,,Random,N/A
0.09,0,0.39,-0.13,0.41,185.12,3.509,-3.135,0.113,0.53,0.84,1,0,66.8,,,,,,,Random,N/A
0.1,0,0.38,-0.15,0.41,185.299,4.076,-3.212,0.15,0.597,0.788,1,0,62.05,,,,,,,Random,N/A
0.11,0,0.35,-0.16,0.39,185.336,4.65,-3.173,0.133,0.606,0.784,1,0,59.15,,,,,,,Random,N/A
0.12,0.01,0.33,-0.18,0.38,185.221,5.29,-2.984,0.092,0.597,0.797,1,0,52.93,,,,,,,Random,N/A
0.13,0.01,0.32,-0.2,0.37,184.994,5.646,-2.685,0.062,0.563,0.824,1,0,50.16,,,,,,,Random,N/A
0.14,0,0.32,-0.19,0.37,184.688,5.871,-2.289,0.06,0.552,0.832,1,0,54.76,,,,,,,Random,N/A
0.15,0,0.31,-0.19,0.36,184.361,6.106,-1.838,0.057,0.585,0.809,1,0,61.39,,,,,,,Random,N/A
0.16,0.01,0.32,-0.2,0.37,184.053,6.393,-1.318,0.021,0.651,0.758,1,0,65.53,,,,,,,Random,N/A
0.17,0.03,0.3,-0.21,0.36,183.802,6.65,-0.705,-0.031,0.63,0.776,1,0,63.72,,,,,,,Random,N/A
0.18,0.03,0.29,-0.21,0.37,183.643,6.703,0.011,-0.054,0.587,0.808,1,0,71.58,,,,,,,Random,N/A
0.19,0.04,0.29,-0.24,0.38,183.585,6.594,0.865,-0.032,0.563,0.826,1,0,86.37,,,,,,,Random,N/A
0.2,0.04,0.29,-0.25,0.39,183.626,6.467,1.888,-0.027,0.574,0.818,1,0,102.86,,,,,,,Random,N/A
0.21,0.04,0.31,-0.26,0.4,183.748,6.316,3.078,-0.017,0.601,0.799,1,0,118.87,,,,,,,Random,N/A
0.22,0.05,0.31,-0.26,0.41,183.917,6.077,4.409,0.005,0.598,0.801,1,0,131.14,,,,,,,Random,N/A
0.23,0.04,0.32,-0.27,0.42,184.093,5.792,5.836,0.033,0.596,0.802,1,0,136.78,,,,,,,Random,N/A
0.24,0.04,0.34,-0.28,0.44,184.253,5.554,7.308,0.046,0.618,0.785,1,0,136.62,,,,,,,Random,N/A
0.25,0.04,0.35,-0.28,0.45,184.335,5.437,8.192,0.052,0.629,0.775,1,0,134.87,,,,,,,Random,N/A
0.26,0.04,0.36,-0.26,0.45,184.444,5.289,9.64,0.076,0.678,0.731,1,0,128.44,,,,,,,Random,N/A
0.27,0.04,0.34,-0.28,0.45,184.514,5.236,11.022,0.07,0.713,0.697,1,0,120.74,,,,,,,Random,N/A
0.28,0.03,0.34,-0.28,0.44,184.543,5.264,12.325,0.072,0.735,0.675,1,0,113.43,,,,,,,Random,N/A
0.29,0.03,0.34,-0.28,0.44,184.535,5.343,13.549,0.073,0.757,0.649,1,0,107.18,,,,,,,Random,N/A
0.3,0.02,0.35,-0.29,0.46,184.504,5.492,14.7,0.058,0.772,0.633,1,0,102.12,,,,,,,Random,N/A
0.31,0.01,0.34,-0.3,0.45,184.476,5.752,15.775,0.017,0.778,0.627,1,0,96.95,,,,,,,Random,N/A
0.32,0.01,0.35,-0.31,0.47,184.462,6.102,16.76,-0.031,0.765,0.643,1,0,85.3,,,,,,,Random,N/A
0.33,0.01,0.37,-0.31,0.48,184.438,6.398,17.625,-0.033,0.747,0.664,1,0,68.12,,,,,,,Random,N/A
0.34,0.01,0.37,-0.31,0.49,184.386,6.524,18.357,-0.039,0.743,0.668,1,0,52.77,,,,,,,Random,N/A
0.35,0,0.38,-0.32,0.5,184.34,6.558,18.955,-0.04,0.736,0.676,1,0,39.61,,,,,,,Random,N/A
0.36,0,0.38,-0.33,0.51,184.352,6.645,19.425,-0.053,0.726,0.685,1,0,31.46,,,,,,,Random,N/A
0.37,0.01,0.37,-0.33,0.5,184.457,6.853,19.847,-0.055,0.712,0.7,1,0,31.53,,,,,,,Random,N/A
0.38,0,0.36,-0.35,0.5,184.62,7.096,20.113,-0.035,0.697,0.716,1,0,41.19,,,,,,,Random,N/A
0.39,0,0.37,-0.34,0.51,184.885,7.432,20.318,-0.035,0.69,0.723,1,0,55.55,,,,,,,Random,N/A
0.4,-0.01,0.38,-0.35,0.51,185.248,7.869,20.468,-0.045,0.679,0.733,1,0,63.22,,,,,,,Random,N/A
0.41,-0.01,0.36,-0.35,0.51,185.655,8.334,20.541,-0.036,0.673,0.739,1,0,61.12,,,,,,,Random,N/A
0.42,-0.01,0.36,-0.34,0.5,186.045,8.739,20.505,0.013,0.687,0.726,1,0,61.03,,,,,,,Random,N/A
0.43,-0.01,0.37,-0.33,0.49,186.401,9.115,20.336,0.047,0.697,0.716,1,0,72.38,,,,,,,Random,N/A
0.44,-0.01,0.37,-0.32,0.49,186.738,9.566,20.021,0.064,0.706,0.706,1,0,88.06,,,,,,,Random,N/A
0.45,-0.01,0.36,-0.33,0.48,187.047,10.106,19.541,0.067,0.71,0.701,1,0,103.73,,,,,,,Random,N/A
0.46,0,0.36,-0.33,0.49,187.322,10.727,18.893,0.044,0.704,0.708,1,0,121.89,,,,,,,Random,N/A
0.47,0.01,0.37,-0.33,0.49,187.569,11.462,18.087,0.021,0.693,0.72,1,0,138.78,,,,,,,Random,N/A
0.48,0.01,0.36,-0.33,0.49,187.787,12.302,17.134,-0.009,0.687,0.726,1,0,155.72,,,,,,,Random,N/A
0.49,0.02,0.35,-0.31,0.47,188,13.457,15.844,-0.024,0.709,0.705,1,0,165.76,,,,,,,Random,N/A
0.5,0.01,0.33,-0.32,0.46,188.108,14.531,14.666,-0.033,0.764,0.644,1,0,176.06,,,,,,,Random,N/A
0.51,0.03,0.32,-0.31,0.45,188.17,15.755,13.468,-0.046,0.823,0.566,1,0,186.32,,,,,,,Random,N/A
0.52,0.04,0.32,-0.32,0.45,188.175,17.083,12.295,-0.068,0.871,0.487,1,0,186.31,,,,,,,Random,N/A
0.53,0.04,0.31,-0.32,0.45,188.103,18.361,11.178,-0.085,0.891,0.446,1,0,170.93,,,,,,,Random,N/A
0.54,0.04,0.3,-0.33,0.45,187.952,19.416,10.141,-0.115,0.878,0.465,1,0,143.28,,,,,,,Random,N/A
0.55,0.04,0.28,-0.34,0.44,187.732,20.185,9.203,-0.178,0.814,0.553,1,0,116.63,,,,,,,Random,N/A
0.56,0.03,0.27,-0.34,0.44,187.462,20.744,8.354,-0.231,0.739,0.633,1,0,101.14,,,,,,,Random,N/A
0.57,0.02,0.26,-0.33,0.43,187.157,21.218,7.563,-0.278,0.677,0.682,1,0,95.88,,,,,,,Random,N/A
0.58,0.02,0.26,-0.33,0.42,186.826,21.678,6.778,-0.319,0.609,0.726,1,0,96.68,,,,,,,Random,N/A
0.59,0,0.27,-0.32,0.41,186.471,22.121,5.937,-0.325,0.56,0.762,1,0,101.99,,,,,,,Random,N/A
0.6,-0.01,0.28,-0.3,0.41,186.104,22.556,4.995,-0.316,0.53,0.787,1,0,111.82,,,,,,,Random,N/A
0.61,-0.02,0.28,-0.3,0.41,185.742,23.011,3.927,-0.296,0.529,0.795,1,0,124.42,,,,,,,Random,N/A
0.62,-0.02,0.29,-0.3,0.42,185.524,23.288,3.253,-0.286,0.531,0.798,1,0,137.92,,,,,,,Random,N/A
0.63,-0.01,0.31,-0.29,0.42,185.206,23.837,1.987,-0.291,0.492,0.821,1,0,150.65,,,,,,,Random,N/A
0.64,-0.04,0.31,-0.27,0.41,184.922,24.44,0.612,-0.313,0.42,0.852,1,0,161.25,,,,,,,Random,N/A
0.65,-0.04,0.31,-0.24,0.39,184.67,25.097,-0.85,-0.323,0.33,0.887,1,0,170.18,,,,,,,Random,N/A
0.66,-0.05,0.32,-0.2,0.38,184.446,25.822,-2.37,-0.333,0.248,0.91,1,0,176.71,,,,,,,Random,N/A
0.67,-0.03,0.34,-0.18,0.38,184.251,26.613,-3.913,-0.326,0.147,0.934,1,0,177.84,,,,,,,Random,N/A
0.68,-0.04,0.33,-0.15,0.37,184.092,27.383,-5.451,-0.378,0.041,0.925,1,0,168.04,,,,,,,Random,N/A
0.69,-0.03,0.33,-0.12,0.36,184.006,27.968,-6.919,-0.448,-0.066,0.892,1,0,149.82,,,,,,,Random,N/A
0.7,-0.04,0.31,-0.1,0.32,184.016,28.215,-8.27,-0.464,-0.14,0.875,1,0,132.93,,,,,,,Random,N/A
0.71,-0.05,0.28,-0.07,0.29,184.054,28.184,-9.622,-0.498,-0.238,0.834,1,0,117.61,,,,,,,Random,N/A
0.72,-0.05,0.25,-0.05,0.26,184.175,28.097,-10.779,-0.521,-0.393,0.758,1,0,100.19,,,,,,,Random,N/A
0.73,-0.04,0.21,-0.02,0.22,184.39,27.939,-11.689,-0.543,-0.448,0.71,1,0,84.51,,,,,,,Random,N/A
0.74,-0.04,0.19,-0.01,0.2,184.801,27.651,-12.417,-0.52,-0.35,0.779,1,0,74.88,,,,,,,Random,N/A
0.75,-0.02,0.18,0.01,0.18,185.282,27.355,-12.723,-0.485,-0.093,0.869,1,0,73.6,,,,,,,Random,N/A
0.76,-0.03,0.15,0.01,0.15,185.999,26.992,-12.533,-0.4,0.178,0.899,1,0,79.12,,,,,,,Random,N/A
0.77,-0.02,0.14,0.01,0.14,186.837,26.562,-12.105,-0.235,0.372,0.898,1,0,94.76,,,,,,,Random,N/A
0.78,-0.02,0.14,0.01,0.14,187.776,25.971,-11.495,-0.012,0.497,0.868,1,0,100.18,,,,,,,Random,N/A
0.79,-0.02,0.13,-0.01,0.13,188.653,25.346,-10.796,0.034,0.611,0.791,1,0,92.85,,,,,,,Random,N/A
0.8,-0.02,0.14,-0.04,0.14,189.428,24.73,-10.027,0.049,0.623,0.781,1,0,101.07,,,,,,,Random,N/A
0.81,-0.02,0.16,-0.07,0.18,190.16,24.027,-9.163,-0.053,0.568,0.821,1,0,109.18,,,,,,,Random,N/A
0.82,-0.02,0.18,-0.08,0.2,190.879,23.249,-8.204,-0.143,0.501,0.854,1,0,129.83,,,,,,,Random,N/A
0.83,-0.03,0.24,-0.12,0.27,191.621,22.215,-7.188,-0.198,0.422,0.885,1,0,151.37,,,,,,,Random,N/A
0.84,-0.04,0.29,-0.14,0.32,192.331,20.958,-6.191,-0.206,0.363,0.909,1,0,146.18,,,,,,,Random,N/A
0.85,-0.05,0.33,-0.18,0.38,192.919,19.758,-5.269,-0.191,0.381,0.905,1,0,127.14,,,,,,,Random,N/A
0.86,-0.06,0.36,-0.22,0.43,193.46,18.476,-4.286,-0.161,0.443,0.882,1,0,119.45,,,,,,,Random,N/A
0.87,-0.07,0.39,-0.24,0.46,193.846,17.461,-3.604,-0.145,0.519,0.842,1,0,110.57,,,,,,,Random,N/A
0.88,-0.07,0.42,-0.27,0.5,194.27,16.467,-2.984,-0.148,0.548,0.823,1,0,112.04,,,,,,,Random,N/A
0.89,-0.07,0.46,-0.29,0.54,194.805,15.398,-2.33,-0.152,0.538,0.829,1,0,129.86,,,,,,,Random,N/A
0.9,-0.08,0.5,-0.3,0.59,195.455,14.379,-1.584,-0.088,0.545,0.834,1,0,124.26,,,,,,,Random,N/A
0.91,-0.09,0.53,-0.31,0.62,196.102,13.809,-0.799,-0.018,0.517,0.856,1,0,83.15,,,,,,,Random,N/A
0.92,-0.11,0.56,-0.32,0.65,196.582,13.768,-0.042,-0.075,0.495,0.866,1,0,66.89,,,,,,,Random,N/A
0.93,-0.13,0.58,-0.32,0.67,196.821,13.772,0.666,-0.098,0.474,0.875,1,0,56.01,,,,,,,Random,N/A
0.94,-0.12,0.57,-0.31,0.66,196.829,13.585,1.333,-0.085,0.446,0.891,1,0,61.42,,,,,,,Random,N/A
0.95,-0.12,0.56,-0.3,0.64,196.673,13.395,1.967,-0.068,0.42,0.905,1,0,61.81,,,,,,,Random,N/A
0.96,-0.1,0.54,-0.29,0.62,196.44,13.361,2.582,-0.085,0.342,0.936,1,0,63.38,,,,,,,Random,N/A
0.97,-0.07,0.53,-0.29,0.61,196.227,13.423,3.262,-0.108,0.207,0.972,1,0,71.47,,,,,,,Random,N/A
0.98,-0.06,0.52,-0.28,0.59,196.14,13.589,4.123,-0.07,0.258,0.964,1,0,94.21,,,,,,,Random,N/A
0.99,-0.06,0.51,-0.28,0.58,196.132,13.734,4.703,-0.034,0.33,0.943,1,0,118.93,,,,,,,Random,N/A
1,-0.05,0.51,-0.26,0.57,196.365,14.408,6.081,-0.043,0.445,0.894,1,0,120.15,,,,,,,Random,N/A
1.01,-0.05,0.51,-0.24,0.57,196.632,14.936,7.247,-0.08,0.457,0.886,1,0,108.3,,,,,,,Random,N/A
1.02,-0.04,0.49,-0.24,0.55,196.963,15.256,8.366,-0.032,0.464,0.885,1,0,93.08,,,,,,,Random,N/A
1.03,-0.02,0.49,-0.23,0.54,197.366,15.386,9.373,-0.097,0.513,0.853,1,0,81.17,,,,,,,Random,N/A
1.04,-0.01,0.48,-0.23,0.53,197.851,15.451,10.249,-0.165,0.554,0.816,1,0,71.23,,,,,,,Random,N/A
1.05,0,0.48,-0.23,0.53,198.381,15.296,10.995,-0.165,0.595,0.787,1,0,72.65,,,,,,,Random,N/A
1.06,0,0.47,-0.23,0.52,198.926,14.872,11.614,-0.137,0.603,0.786,1,0,81.73,,,,,,,Random,N/A
1.07,-0.01,0.48,-0.22,0.53,199.445,14.201,12.093,-0.154,0.582,0.798,1,0,87.51,,,,,,,Random,N/A
1.08,-0.01,0.47,-0.24,0.53,199.916,13.476,12.432,-0.279,0.589,0.758,1,0,59.97,,,,,,,Random,N/A
1.09,-0.03,0.47,-0.25,0.53,200.32,13.077,12.659,-0.236,0.653,0.72,1,0,45.67,,,,,,,Random,N/A
1.1,-0.05,0.46,-0.26,0.53,200.554,12.692,12.833,-0.203,0.692,0.693,1,0,37.61,,,,,,,Random,N/A
1.11,-0.05,0.47,-0.25,0.53,200.693,12.284,13.039,-0.177,0.715,0.676,1,0,32.07,,,,,,,Random,N/A
1.12,-0.06,0.44,-0.27,0.52,200.697,11.981,13.247,-0.122,0.74,0.661,1,0,32.29,,,,,,,Random,N/A
1.13,-0.05,0.42,-0.29,0.51,200.602,11.705,13.51,-0.072,0.74,0.669,1,0,38.47,,,,,,,Random,N/A
