Time,ForceX,ForceY,ForceZ,ForceRez,YawG,PitchG,RollG,AccelX,AccelY,AccelZ,AccRMS,RST,GyroRMS,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Label,Technique
0.01,0,0.49,-0.01,0.49,179.918,-0.023,0.002,-0.092,-0.142,0.986,1,0,24.34,-0.435,-8.392,-22.736,-0.014,0.209,0.091,Random,N/A
0.02,0,0.48,-0.02,0.48,179.688,-0.133,-0.023,-0.095,-0.185,0.978,1,0,23.96,-3.25,-7.553,-22.4,-0.014,0.209,0.091,Random,N/A
0.03,0,0.48,-0.02,0.48,179.474,-0.266,-0.041,-0.105,-0.221,0.97,1,0,16.67,-1.945,-3.601,-16.06,-0.014,0.209,0.091,Random,N/A
0.04,-0.01,0.47,-0.04,0.47,179.306,-0.405,-0.019,-0.098,-0.217,0.971,1,0,8,1.06,-1.976,-7.584,-0.001,0.215,0.076,Random,N/A
0.05,-0.01,0.46,-0.04,0.46,179.259,-0.473,0.002,-0.107,-0.214,0.971,1,0,5.14,3.731,-3.204,-1.251,-0.001,0.215,0.076,Random,N/A
0.06,-0.01,0.46,-0.03,0.46,179.255,-0.532,0.018,-0.103,-0.2,0.974,1,0,10.08,5.203,-8.209,2.457,-0.001,0.215,0.076,Random,N/A
0.07,-0.02,0.46,-0.03,0.46,179.277,-0.58,0.014,-0.101,-0.226,0.969,1,0,6.56,6.371,1.732,0.198,-0.001,0.215,0.076,Random,N/A
0.08,-0.03,0.46,-0.03,0.46,179.271,-0.616,0.065,-0.108,-0.221,0.969,1,0,15.24,8.987,-11.955,-2.464,-0.001,0.215,0.076,Random,N/A
0.09,-0.03,0.46,-0.02,0.46,179.245,-0.626,-0.043,-0.058,-0.203,0.978,1,0,18.35,11.261,-13.268,-5.547,-0.001,0.215,0.076,Random,N/A
0.1,-0.04,0.46,-0.02,0.46,179.177,-0.623,-0.118,-0.072,-0.183,0.981,1,0,16.17,9.308,-6.477,-11.406,-0.001,0.215,0.076,Random,N/A
0.11,-0.04,0.46,-0.01,0.46,179.058,-0.645,-0.139,-0.083,-0.151,0.985,1,0,15.13,3.998,-5.653,-13.344,-0.001,0.215,0.076,Random,N/A
