Time,ForceX,ForceY,ForceZ,ForceRez,YawG,PitchG,RollG,AccelX,AccelY,AccelZ,AccRMS,RST,GyroRMS,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Label,Technique
0.01,0,0.5,-0.01,0.5,179.971,-0.034,0.099,-0.237,-0.164,0.957,1,0,19.47,-3.288,16.357,-10.292,-0.193,0.262,0.1,Random,N/A
0.02,0,0.49,-0.01,0.49,179.857,-0.139,0.351,-0.228,-0.195,0.954,1,0,21.73,-5.592,14.252,-15.587,-0.193,0.262,0.1,Random,N/A
0.03,0,0.5,-0.02,0.5,179.692,-0.278,0.57,-0.225,-0.227,0.948,1,0,23.89,-7.149,11.612,-19.737,-0.193,0.284,0.097,Random,N/A
0.04,0,0.5,-0.01,0.5,179.484,-0.436,0.755,-0.208,-0.249,0.946,1,0,25.19,-7.37,9.964,-22.034,-0.193,0.284,0.097,Random,N/A
0.05,0.01,0.51,-0.01,0.51,179.255,-0.599,0.923,-0.202,-0.266,0.942,1,0,26.52,-6.302,10.132,-23.788,-0.193,0.284,0.097,Random,N/A
0.06,0.01,0.5,0,0.5,179.01,-0.755,1.087,-0.195,-0.26,0.946,1,0,27.48,-5.318,10.201,-25.055,-0.193,0.284,0.097,Random,N/A
0.07,0,0.5,-0.01,0.5,178.755,-0.905,1.25,-0.195,-0.255,0.947,1,0,27.88,-4.463,9.781,-25.826,-0.193,0.284,0.097,Random,N/A
0.08,-0.01,0.5,-0.01,0.5,178.493,-1.048,1.408,-0.192,-0.253,0.948,1,0,27.42,-4.379,8.751,-25.711,-0.193,0.284,0.097,Random,N/A
0.09,-0.01,0.49,-0.02,0.5,178.237,-1.192,1.55,-0.188,-0.264,0.946,1,0,25.92,-4.395,7.523,-24.498,-0.193,0.284,0.097,Random,N/A
0.1,-0.02,0.49,-0.01,0.49,177.999,-1.333,1.667,-0.185,-0.248,0.951,1,0,22.39,-3.006,3.723,-21.942,-0.193,0.284,0.097,Random,N/A
0.11,-0.02,0.48,-0.01,0.48,177.789,-1.446,1.735,-0.197,-0.247,0.949,1,0,19.28,0.984,-3.571,-18.944,-0.193,0.284,0.097,Random,N/A
0.12,-0.02,0.47,-0.01,0.47,177.615,-1.519,1.761,-0.217,-0.21,0.953,1,0,15.91,4.417,-4.211,-14.709,-0.193,0.284,0.097,Random,N/A
0.13,-0.01,0.48,0,0.48,177.506,-1.537,1.756,-0.242,-0.217,0.946,1,0,18.2,9.377,-14.526,-5.379,-0.193,0.284,0.097,Random,N/A
0.14,-0.01,0.48,0.03,0.48,177.496,-1.498,1.683,-0.222,-0.251,0.942,1,0,23.61,15.686,-16.762,5.058,-0.193,0.284,0.097,Random,N/A
0.15,-0.01,0.48,0.02,0.48,177.647,-1.385,1.54,-0.224,-0.272,0.936,1,0,35.73,19.73,-22.285,19.569,-0.193,0.265,0.114,Random,N/A
0.16,-0.01,0.48,0.03,0.48,177.868,-1.291,1.464,-0.181,-0.261,0.948,1,0,46.4,20.172,-2.533,41.649,-0.193,0.265,0.114,Random,N/A
0.17,-0.03,0.48,0.02,0.48,178.305,-1.179,1.541,-0.19,-0.257,0.947,1,0,55.31,16.792,9.712,51.773,-0.193,0.265,0.114,Random,N/A
0.18,-0.03,0.48,0.02,0.48,178.833,-1.099,1.721,-0.209,-0.249,0.946,1,0,60.7,11.841,11.81,58.327,-0.193,0.265,0.114,Random,N/A
0.19,-0.02,0.49,0.01,0.49,179.421,-1.062,1.92,-0.22,-0.241,0.945,1,0,62.22,9.155,11.795,60.379,-0.193,0.265,0.114,Random,N/A
0.2,-0.01,0.5,0.02,0.5,180.028,-1.059,2.12,-0.224,-0.241,0.944,1,0,63.47,3.716,11.429,62.294,-0.193,0.265,0.114,Random,N/A
0.21,-0.01,0.5,0.03,0.5,180.643,-1.105,2.317,-0.217,-0.234,0.948,1,0,62.55,-1.221,11.215,61.501,-0.193,0.265,0.114,Random,N/A
0.22,-0.01,0.5,0.02,0.5,181.241,-1.199,2.517,-0.221,-0.227,0.948,1,0,60.18,-5.867,12.1,58.632,-0.193,0.265,0.114,Random,N/A
0.23,-0.01,0.5,0.01,0.5,181.8,-1.331,2.721,-0.226,-0.215,0.95,1,0,55.17,-9.064,11.444,53.185,-0.193,0.265,0.114,Random,N/A
0.24,-0.01,0.5,0.03,0.5,182.298,-1.487,2.927,-0.236,-0.198,0.951,1,0,48.87,-10.803,11.612,46.204,-0.193,0.265,0.114,Random,N/A
0.25,-0.03,0.51,0.02,0.51,182.724,-1.651,3.143,-0.241,-0.179,0.954,1,0,42.23,-11.322,12.665,38.651,-0.193,0.265,0.114,Random,N/A
0.26,-0.04,0.51,0.01,0.52,183.074,-1.809,3.363,-0.245,-0.158,0.957,1,0,34.76,-10.155,11.185,31.303,-0.193,0.265,0.114,Random,N/A
0.27,-0.05,0.5,0,0.51,183.354,-1.946,3.557,-0.246,-0.15,0.958,1,0,26.3,-7.37,6.004,24.498,-0.193,0.265,0.114,Random,N/A
0.28,-0.06,0.5,0,0.5,183.617,-2.077,3.727,-0.245,-0.165,0.955,1,0,15.54,-1.663,-3.517,14.961,-0.204,0.273,0.111,Random,N/A
0.29,-0.05,0.51,0.02,0.51,183.7,-2.117,3.759,-0.238,-0.168,0.957,1,0,13.43,0.45,-5.905,11.94,-0.204,0.273,0.111,Random,N/A
0.3,-0.06,0.51,0.02,0.51,183.806,-2.167,3.787,-0.239,-0.178,0.954,1,0,11.46,4.753,-8.247,6.149,-0.204,0.273,0.111,Random,N/A
0.31,-0.06,0.51,0.01,0.51,183.856,-2.18,3.791,-0.237,-0.195,0.952,1,0,13.1,9.132,-9.209,0.946,-0.204,0.273,0.111,Random,N/A
0.32,-0.07,0.5,0.02,0.51,183.855,-2.159,3.78,-0.218,-0.212,0.952,1,0,16.86,13.466,-9.552,-3.105,-0.204,0.273,0.111,Random,N/A
0.33,-0.07,0.49,0.01,0.5,183.816,-2.106,3.756,-0.209,-0.225,0.952,1,0,20.58,17.555,-9.064,-5.615,-0.204,0.273,0.111,Random,N/A
0.34,-0.07,0.51,0.01,0.51,183.756,-2.017,3.733,-0.194,-0.222,0.955,1,0,24.26,22.263,-7.446,-6.027,-0.204,0.273,0.111,Random,N/A
0.35,-0.07,0.51,0.01,0.51,183.694,-1.882,3.725,-0.188,-0.208,0.96,1,0,28.3,27.328,-5.188,-5.188,-0.204,0.273,0.111,Random,N/A
0.36,-0.07,0.52,0,0.52,183.641,-1.694,3.743,-0.194,-0.196,0.961,1,0,32.66,32.394,-1.907,-3.731,-0.204,0.273,0.111,Random,N/A
0.37,-0.06,0.52,-0.01,0.52,183.601,-1.454,3.798,-0.204,-0.188,0.961,1,0,36.24,36.179,0.13,-2.251,-0.204,0.273,0.111,Random,N/A
0.38,-0.05,0.51,0,0.51,183.576,-1.177,3.87,-0.2,-0.182,0.963,1,0,38.04,38.002,-1.358,-1.175,-0.204,0.273,0.111,Random,N/A
0.39,-0.05,0.51,0.01,0.52,183.56,-0.886,3.923,-0.2,-0.182,0.963,1,0,37.49,37.338,-3.197,-0.801,-0.204,0.273,0.111,Random,N/A
0.4,-0.05,0.51,0.01,0.51,183.543,-0.554,3.967,-0.203,-0.174,0.964,1,0,34.53,34.317,-3.616,-1.16,-0.222,0.262,0.093,Random,N/A
0.41,-0.04,0.51,0.01,0.51,183.525,-0.308,4.003,-0.212,-0.177,0.961,1,0,29.81,29.587,-3.235,-1.686,-0.222,0.262,0.093,Random,N/A
0.42,-0.04,0.5,0,0.5,183.502,-0.125,4.036,-0.225,-0.159,0.961,1,0,24.18,23.491,-5.318,-1.862,-0.222,0.262,0.093,Random,N/A
0.43,-0.04,0.49,0,0.49,183.478,-0.001,4.035,-0.243,-0.142,0.96,1,0,20.56,16.258,-12.306,-2.029,-0.222,0.262,0.093,Random,N/A
0.44,-0.05,0.49,0.01,0.49,183.451,0.058,3.975,-0.24,-0.125,0.963,1,0,20.77,8.438,-18.692,-2.472,-0.222,0.262,0.093,Random,N/A
0.45,-0.05,0.5,0.02,0.5,183.419,0.04,3.865,-0.232,-0.127,0.964,1,0,22.54,0.282,-22.179,-3.227,-0.222,0.262,0.093,Random,N/A
0.46,-0.07,0.49,0.03,0.5,183.378,-0.061,3.735,-0.208,-0.121,0.971,1,0,23.26,-7.339,-21.545,-4.181,-0.222,0.262,0.093,Random,N/A
0.47,-0.05,0.49,0.03,0.5,183.331,-0.236,3.603,-0.188,-0.121,0.975,1,0,26.23,-13.458,-21.919,-4.539,-0.222,0.262,0.093,Random,N/A
0.48,-0.06,0.49,0.04,0.5,183.284,-0.466,3.459,-0.177,-0.118,0.977,1,0,29.8,-17.159,-23.872,-4.143,-0.222,0.262,0.093,Random,N/A
0.49,-0.06,0.48,0.04,0.49,183.246,-0.718,3.293,-0.177,-0.118,0.977,1,0,31.88,-17.479,-26.36,-2.922,-0.222,0.262,0.093,Random,N/A
0.5,-0.06,0.49,0.04,0.49,183.224,-0.956,3.116,-0.177,-0.126,0.976,1,0,29.91,-14.458,-26.016,-1.183,-0.222,0.262,0.093,Random,N/A
