Time,ForceX,ForceY,ForceZ,ForceRez,YawG,PitchG,RollG,AccelX,AccelY,AccelZ,AccRMS,RST,GyroRMS,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Label,Technique
0.01,-0.04,0.49,-0.01,0.49,-0.057,0,0,-0.214,0.007,0.977,1,0,15.7,1.633,-8.98,-12.772,-0.03,-0.103,-0.008,Random,N/A
0.02,-0.08,0.47,-0.06,0.48,-0.229,0.057,0.057,-0.259,-0.001,0.966,1,0,13.32,3.067,-5.013,-11.955,-0.03,-0.103,-0.008,Random,N/A
0.03,-0.06,0.44,-0.05,0.45,-0.344,0.057,0.115,-0.276,-0.011,0.961,1,0,10.55,4.356,-0.313,-9.605,-0.03,-0.103,-0.008,Random,N/A
0.04,-0.02,0.46,-0.04,0.46,-0.401,0.115,0.229,-0.269,-0.013,0.963,1,0,8.86,4.829,4.196,-6.134,-0.03,-0.103,-0.008,Random,N/A
0.05,-0.08,0.47,-0.01,0.48,-0.458,0.172,0.401,-0.251,0.001,0.968,1,0,8.77,3.647,7.553,-2.563,-0.03,-0.103,-0.008,Random,N/A
0.06,-0.11,0.44,-0.09,0.46,-0.458,0.172,0.63,-0.24,0.007,0.971,1,0,10.29,0.549,10.239,-0.916,-0.03,-0.103,-0.008,Random,N/A
0.07,-0.15,0.47,-0.08,0.49,-0.458,0.172,0.859,-0.227,0.011,0.974,1,0,9.7,-4.417,8.301,-2.396,-0.03,-0.103,-0.008,Random,N/A
0.08,-0.11,0.46,-0.11,0.48,-0.516,0.115,1.031,-0.218,0.017,0.976,1,0,12.86,-9.567,6.065,-6.081,-0.03,-0.103,-0.008,Random,N/A
0.09,-0.11,0.45,-0.1,0.48,-0.573,0,1.203,-0.205,0.027,0.978,1,0,17.73,-13.405,5.394,-10.277,-0.03,-0.103,-0.008,Random,N/A
0.1,-0.1,0.51,-0.12,0.54,-0.688,-0.115,1.375,-0.2,0.028,0.979,1,0,19.89,-14.252,3.357,-13.458,-0.03,-0.103,-0.008,Random,N/A
0.11,-0.05,0.51,-0.14,0.53,-0.859,-0.229,1.49,-0.206,0.027,0.978,1,0,18.59,-12.07,0.298,-14.13,-0.03,-0.099,-0.014,Random,N/A
0.12,-0.06,0.51,-0.16,0.54,-0.974,-0.344,1.604,-0.219,0.019,0.976,1,0,15.5,-7.019,-5.646,-12.611,-0.03,-0.099,-0.014,Random,N/A
0.13,-0.04,0.49,-0.27,0.56,-1.089,-0.344,1.662,-0.241,0.005,0.97,1,0,12.48,-1.114,-9.018,-8.553,-0.03,-0.099,-0.014,Random,N/A
0.14,-0.03,0.54,-0.33,0.63,-1.146,-0.344,1.662,-0.264,-0.005,0.964,1,0,9.58,4.448,-7.889,-3.128,-0.03,-0.099,-0.014,Random,N/A
0.15,0.02,0.5,-0.29,0.58,-1.203,-0.286,1.719,-0.261,-0.019,0.965,1,0,9.62,7.912,-5.127,1.892,-0.03,-0.099,-0.014,Random,N/A
0.16,0.01,0.52,-0.35,0.63,-1.146,-0.229,1.776,-0.244,-0.005,0.97,1,0,10.07,7.545,-3.654,5.585,-0.03,-0.099,-0.014,Random,N/A
0.17,0.01,0.51,-0.29,0.58,-1.089,-0.172,1.833,-0.23,-0.003,0.973,1,0,8.37,3.51,-3.86,6.546,-0.03,-0.099,-0.014,Random,N/A
0.18,0.01,0.5,-0.34,0.61,-1.031,-0.172,1.948,-0.215,-0.009,0.977,1,0,4.77,-0.877,-2.762,3.784,-0.03,-0.099,-0.014,Random,N/A
0.19,0.01,0.49,-0.35,0.61,-0.974,-0.172,2.005,-0.194,-0.001,0.981,1,0,6.25,-4.135,4.204,-2.075,-0.03,-0.099,-0.014,Random,N/A
0.2,0.03,0.5,-0.32,0.6,-1.031,-0.229,2.235,-0.191,0.017,0.981,1,0,15.47,-7.057,9.987,-9.483,-0.03,-0.099,-0.014,Random,N/A
0.21,-0.01,0.5,-0.27,0.57,-1.146,-0.286,2.406,-0.179,0.019,0.984,1,0,23.39,-9.674,13.557,-16.426,-0.03,-0.099,-0.014,Random,N/A
0.22,-0.07,0.47,-0.2,0.51,-1.318,-0.344,2.693,-0.18,0.038,0.983,1,0,26.17,-12.207,11.833,-19.89,-0.03,-0.099,-0.014,Random,N/A
0.23,-0.07,0.47,-0.17,0.51,-1.432,-0.401,2.807,-0.188,0.041,0.981,1,0,25.78,-13.206,9.247,-20.119,-0.03,-0.099,-0.014,Random,N/A
0.24,-0.11,0.46,-0.14,0.49,-1.719,-0.573,3.037,-0.211,0.034,0.977,1,0,21.15,-12.97,-4.417,-16.113,-0.028,-0.097,-0.013,Random,N/A
0.25,-0.07,0.44,-0.21,0.49,-1.891,-0.688,3.094,-0.221,0.024,0.975,1,0,18.08,-9.087,-11.482,-10.597,-0.028,-0.097,-0.013,Random,N/A
0.26,-0.07,0.48,-0.24,0.54,-1.948,-0.745,3.094,-0.238,0.02,0.971,1,0,13.48,-3.319,-12.131,-4.845,-0.028,-0.097,-0.013,Random,N/A
0.27,-0.03,0.52,-0.26,0.58,-2.005,-0.745,3.037,-0.223,0.014,0.975,1,0,12.88,2.594,-12.611,0.015,-0.028,-0.097,-0.013,Random,N/A
0.28,-0.06,0.47,-0.22,0.52,-1.948,-0.688,3.037,-0.214,0.023,0.976,1,0,16.56,6.47,-14.641,4.227,-0.028,-0.097,-0.013,Random,N/A
0.29,-0.09,0.4,-0.26,0.49,-1.891,-0.573,2.979,-0.2,0.029,0.979,1,0,17.28,7.614,-14.259,6.104,-0.028,-0.097,-0.013,Random,N/A
0.3,-0.03,0.42,-0.26,0.5,-1.833,-0.458,2.979,-0.206,-0.002,0.979,1,0,15.34,7.164,-12.856,4.311,-0.028,-0.097,-0.013,Random,N/A
0.31,-0.04,0.46,-0.3,0.55,-1.833,-0.401,2.979,-0.211,0.007,0.977,1,0,8.53,5.264,-6.607,-1.16,-0.028,-0.097,-0.013,Random,N/A
0.32,-0.02,0.49,-0.29,0.57,-1.833,-0.344,3.037,-0.202,0.02,0.979,1,0,9.13,1.686,-4.356,-7.843,-0.028,-0.097,-0.013,Random,N/A
0.33,-0.07,0.53,-0.28,0.6,-1.948,-0.344,3.094,-0.193,0.024,0.981,1,0,13.12,-2.144,-1.335,-12.878,-0.028,-0.097,-0.013,Random,N/A
0.34,-0.1,0.49,-0.29,0.58,-2.063,-0.344,3.209,-0.202,0.024,0.979,1,0,15.82,-4.677,-2.609,-14.885,-0.028,-0.097,-0.013,Random,N/A
0.35,-0.04,0.45,-0.27,0.53,-2.177,-0.344,3.266,-0.21,0.025,0.977,1,0,16.08,-5.302,-4.028,-14.641,-0.028,-0.097,-0.013,Random,N/A
0.36,-0.07,0.44,-0.22,0.5,-2.349,-0.401,3.323,-0.223,0.014,0.975,1,0,13.83,-3.723,-9.087,-9.743,-0.024,-0.104,-0.006,Random,N/A
0.37,-0.04,0.48,-0.21,0.52,-2.464,-0.458,3.323,-0.228,0.017,0.973,1,0,12.78,-0.534,-12.276,-3.502,-0.024,-0.104,-0.006,Random,N/A
0.38,-0.03,0.53,-0.2,0.57,-2.464,-0.401,3.323,-0.228,0.007,0.974,1,0,12.54,2.769,-11.81,3.166,-0.024,-0.104,-0.006,Random,N/A
0.39,-0.02,0.57,-0.17,0.6,-2.406,-0.344,3.323,-0.22,0.006,0.976,1,0,13.75,4.189,-10.376,7.996,-0.024,-0.104,-0.006,Random,N/A
0.4,0.07,0.56,-0.23,0.61,-2.292,-0.286,3.38,-0.209,0.013,0.978,1,0,13.7,3.304,-9.361,9.445,-0.024,-0.104,-0.006,Random,N/A
0.41,0.11,0.5,-0.29,0.58,-2.235,-0.286,3.38,-0.189,0.01,0.982,1,0,11.09,1.076,-8.202,7.393,-0.024,-0.104,-0.006,Random,N/A
0.42,0.07,0.47,-0.29,0.56,-2.177,-0.229,3.438,-0.172,0.014,0.985,1,0,5.09,-0.977,-3.975,3.021,-0.024,-0.104,-0.006,Random,N/A
0.43,0.03,0.48,-0.29,0.56,-2.12,-0.229,3.495,-0.182,0.02,0.983,1,0,3.81,-2.594,0.153,-2.785,-0.024,-0.104,-0.006,Random,N/A
