Time,ForceX,ForceY,ForceZ,ForceRez,YawG,PitchG,RollG,AccelX,AccelY,AccelZ,AccRMS,RST,GyroRMS,,,,,,,Label,Technique
0.01,0.01,0.47,0,0.47,0.052,0.105,0,-0.271,-0.233,0.934,1,0,35.58,,,,,,,Random,N/A
0.02,0,0.49,0,0.49,0.261,0.418,0.052,-0.269,-0.211,0.94,1,0,41.89,,,,,,,Random,N/A
0.03,0,0.49,0.02,0.49,0.471,0.628,0.105,-0.18,-0.287,0.941,1,0,30.82,,,,,,,Random,N/A
0.04,-0.01,0.49,0.02,0.49,0.68,0.628,0.157,-0.187,-0.337,0.923,1,0,14.88,,,,,,,Random,N/A
0.05,-0.02,0.48,0.01,0.48,0.628,0.68,0.157,-0.171,-0.302,0.938,1,0,12.8,,,,,,,Random,N/A
0.06,-0.02,0.48,0.02,0.48,0.523,0.732,0.157,-0.195,-0.267,0.944,1,0,26.8,,,,,,,Random,N/A
0.07,-0.02,0.49,0.03,0.49,0.261,0.941,0.209,-0.191,-0.267,0.945,1,0,30.49,,,,,,,Random,N/A
0.08,-0.02,0.5,0.04,0.51,0.052,1.046,0.209,-0.182,-0.288,0.94,1,0,27.1,,,,,,,Random,N/A
0.09,-0.02,0.51,0.04,0.51,-0.157,1.203,0.209,-0.178,-0.306,0.935,1,0,22.21,,,,,,,Random,N/A
0.1,-0.02,0.51,0.05,0.52,-0.261,1.307,0.209,-0.183,-0.317,0.931,1,0,16.34,,,,,,,Random,N/A
0.11,-0.02,0.52,0.06,0.52,-0.366,1.464,0.157,-0.187,-0.315,0.931,1,0,11.67,,,,,,,Random,N/A
0.12,-0.02,0.52,0.06,0.52,-0.418,1.569,0.052,-0.201,-0.31,0.929,1,0,10.03,,,,,,,Random,N/A
0.13,-0.04,0.53,0.07,0.54,-0.471,1.726,0,-0.212,-0.308,0.927,1,0,10.84,,,,,,,Random,N/A
0.14,-0.04,0.53,0.07,0.54,-0.471,1.883,-0.105,-0.224,-0.309,0.924,1,0,12.36,,,,,,,Random,N/A
0.15,-0.03,0.53,0.06,0.53,-0.418,2.04,-0.157,-0.238,-0.297,0.925,1,0,13.44,,,,,,,Random,N/A
0.16,-0.04,0.54,0.05,0.54,-0.418,2.196,-0.209,-0.247,-0.295,0.923,1,0,11.6,,,,,,,Random,N/A
0.17,-0.04,0.54,0.08,0.54,-0.418,2.353,-0.209,-0.244,-0.289,0.926,1,0,9.67,,,,,,,Random,N/A
0.18,-0.03,0.54,0.08,0.55,-0.418,2.458,-0.209,-0.236,-0.282,0.93,1,0,9.82,,,,,,,Random,N/A
0.19,-0.01,0.52,0.08,0.53,-0.418,2.51,-0.209,-0.226,-0.27,0.936,1,0,11.61,,,,,,,Random,N/A
0.2,-0.02,0.5,0.07,0.51,-0.418,2.562,-0.209,-0.214,-0.262,0.941,1,0,12.76,,,,,,,Random,N/A
0.21,-0.01,0.5,0.08,0.51,-0.418,2.615,-0.157,-0.213,-0.267,0.94,1,0,12.29,,,,,,,Random,N/A
0.22,-0.02,0.5,0.07,0.5,-0.418,2.719,-0.157,-0.213,-0.259,0.942,1,0,13.45,,,,,,,Random,N/A
0.23,-0.02,0.5,0.05,0.5,-0.418,2.824,-0.105,-0.219,-0.235,0.947,1,0,15.2,,,,,,,Random,N/A
0.24,-0.02,0.5,0.06,0.5,-0.418,2.981,-0.105,-0.226,-0.237,0.945,1,0,15.01,,,,,,,Random,N/A
0.25,0,0.5,0.04,0.5,-0.366,3.138,-0.052,-0.223,-0.24,0.945,1,0,14.29,,,,,,,Random,N/A
0.26,0,0.5,0.05,0.5,-0.366,3.242,-0.052,-0.222,-0.247,0.943,1,0,13.3,,,,,,,Random,N/A
0.27,-0.01,0.5,0.05,0.5,-0.366,3.347,-0.052,-0.225,-0.251,0.941,1,0,13.28,,,,,,,Random,N/A
0.28,-0.01,0.5,0.05,0.5,-0.366,3.452,0,-0.219,-0.242,0.945,1,0,13.6,,,,,,,Random,N/A
0.29,-0.01,0.5,0.05,0.5,-0.418,3.556,0,-0.209,-0.245,0.947,1,0,14.02,,,,,,,Random,N/A
0.3,-0.02,0.5,0.03,0.5,-0.418,3.608,0.052,-0.205,-0.25,0.946,1,0,13.35,,,,,,,Random,N/A
0.31,-0.03,0.5,0.03,0.5,-0.471,3.661,0.052,-0.201,-0.241,0.95,1,0,11.68,,,,,,,Random,N/A
0.32,-0.03,0.51,0.03,0.51,-0.471,3.765,0.052,-0.205,-0.221,0.953,1,0,9.29,,,,,,,Random,N/A
0.33,-0.04,0.51,0.02,0.51,-0.471,3.87,0.052,-0.214,-0.216,0.953,1,0,8.31,,,,,,,Random,N/A
0.34,-0.05,0.51,0.02,0.52,-0.471,3.974,0,-0.216,-0.226,0.95,1,0,8.3,,,,,,,Random,N/A
0.35,-0.05,0.51,0.02,0.51,-0.471,4.079,0,-0.21,-0.233,0.95,1,0,6.21,,,,,,,Random,N/A
0.36,-0.04,0.52,0.03,0.52,-0.418,4.131,-0.052,-0.204,-0.248,0.947,1,0,5.14,,,,,,,Random,N/A
0.37,-0.05,0.5,0.04,0.51,-0.418,4.131,-0.105,-0.168,-0.254,0.953,1,0,7.76,,,,,,,Random,N/A
0.38,-0.06,0.51,0.04,0.52,-0.471,4.027,-0.157,-0.13,-0.212,0.969,1,0,27.43,,,,,,,Random,N/A
0.39,-0.07,0.52,0.04,0.52,-0.628,3.87,-0.157,-0.173,-0.206,0.963,1,0,29.97,,,,,,,Random,N/A
0.4,-0.08,0.53,0.03,0.54,-0.889,3.818,-0.209,-0.17,-0.188,0.967,1,0,40.02,,,,,,,Random,N/A
0.41,-0.06,0.53,0.02,0.54,-1.255,3.87,-0.418,-0.17,-0.194,0.966,1,0,48.44,,,,,,,Random,N/A
0.42,-0.05,0.53,0.02,0.54,-1.673,3.922,-0.732,-0.175,-0.216,0.961,1,0,49.15,,,,,,,Random,N/A
0.43,-0.02,0.55,0.04,0.55,-2.04,3.87,-1.151,-0.138,-0.343,0.929,1,0,47.96,,,,,,,Random,N/A
0.44,0,0.55,0.04,0.55,-2.301,3.713,-1.621,0.007,-0.446,0.895,1,0,42.18,,,,,,,Random,N/A
0.45,0,0.55,0.03,0.55,-2.353,3.608,-1.883,-0.124,-0.288,0.949,1,0,45.15,,,,,,,Random,N/A
0.46,0.01,0.55,0.04,0.55,-2.249,3.295,-2.301,-0.177,-0.273,0.946,1,0,57.84,,,,,,,Random,N/A
0.47,0.01,0.55,0.03,0.55,-1.987,3.033,-2.667,-0.235,-0.271,0.934,1,0,60.18,,,,,,,Random,N/A
0.48,0.01,0.53,0.05,0.53,-1.569,2.929,-3.033,-0.261,-0.267,0.928,1,0,66.53,,,,,,,Random,N/A
0.49,0.01,0.53,0.03,0.53,-1.046,2.929,-3.399,-0.378,-0.21,0.902,1,0,84.78,,,,,,,Random,N/A
0.5,0.02,0.52,0.03,0.52,-0.471,3.399,-3.818,-0.224,-0.251,0.942,1,0,100.58,,,,,,,Random,N/A
0.51,0.01,0.51,0.04,0.52,0.209,3.922,-4.288,-0.136,-0.289,0.948,1,0,89.42,,,,,,,Random,N/A
0.52,0.02,0.51,0.05,0.51,0.837,4.236,-4.707,-0.139,-0.34,0.93,1,0,61.57,,,,,,,Random,N/A
0.53,0.02,0.5,0.06,0.5,1.203,4.288,-5.073,-0.223,-0.316,0.922,1,0,39.92,,,,,,,Random,N/A
0.54,0,0.49,0.07,0.49,1.36,4.341,-5.439,-0.217,-0.27,0.938,1,0,33.84,,,,,,,Random,N/A
0.55,-0.02,0.49,0.06,0.49,1.412,4.55,-5.805,-0.225,-0.228,0.947,1,0,28.41,,,,,,,Random,N/A
0.56,-0.05,0.48,0.07,0.48,1.36,4.707,-6.066,-0.217,-0.284,0.934,1,0,18.89,,,,,,,Random,N/A
0.57,-0.06,0.46,0.09,0.47,1.36,4.707,-6.275,-0.202,-0.418,0.886,1,0,22.03,,,,,,,Random,N/A
0.58,-0.07,0.45,0.11,0.47,1.36,4.55,-6.485,-0.203,-0.506,0.838,1,0,13.37,,,,,,,Random,N/A
0.59,-0.07,0.44,0.1,0.45,1.36,4.55,-6.694,-0.243,-0.524,0.816,1,0,8.42,,,,,,,Random,N/A
0.6,-0.07,0.43,0.1,0.45,1.307,4.654,-6.798,-0.239,-0.26,0.936,1,0,16.65,,,,,,,Random,N/A
0.61,-0.07,0.43,0.08,0.44,1.255,4.864,-6.746,-0.196,-0.276,0.941,1,0,24.24,,,,,,,Random,N/A
0.62,-0.07,0.42,0.09,0.44,1.255,4.916,-6.589,-0.18,-0.197,0.964,1,0,38.85,,,,,,,Random,N/A
0.63,-0.05,0.41,0.1,0.42,1.307,5.02,-6.275,-0.209,-0.272,0.939,1,0,59.42,,,,,,,Random,N/A
0.64,-0.03,0.41,0.09,0.42,1.36,5.386,-5.857,-0.252,-0.368,0.895,1,0,74.95,,,,,,,Random,N/A
0.65,-0.02,0.39,0.07,0.39,1.517,5.753,-5.334,-0.201,-0.387,0.9,1,0,76.41,,,,,,,Random,N/A
0.66,-0.01,0.38,0.08,0.39,1.778,5.805,-4.759,-0.165,-0.311,0.936,1,0,83.98,,,,,,,Random,N/A
0.67,-0.01,0.37,0.08,0.38,1.987,5.753,-4.131,-0.186,-0.236,0.954,1,0,85.62,,,,,,,Random,N/A
0.68,-0.02,0.38,0.07,0.38,2.249,5.753,-3.452,-0.203,-0.235,0.95,1,0,80.19,,,,,,,Random,N/A
0.69,0.01,0.39,0.06,0.4,2.458,6.014,-2.719,-0.197,-0.239,0.951,1,0,73.79,,,,,,,Random,N/A
0.7,0,0.4,0.06,0.4,2.667,6.38,-2.301,-0.209,-0.245,0.947,1,0,60.63,,,,,,,Random,N/A
0.71,0,0.42,0.06,0.43,2.824,6.642,-1.987,-0.248,-0.254,0.935,1,0,44.97,,,,,,,Random,N/A
0.72,-0.01,0.43,0.05,0.43,2.981,6.851,-1.726,-0.302,-0.269,0.915,1,0,35.88,,,,,,,Random,N/A
0.73,-0.02,0.43,0.06,0.43,3.085,7.008,-1.517,-0.339,-0.268,0.902,1,0,32.23,,,,,,,Random,N/A
0.74,-0.03,0.47,0.07,0.48,3.138,7.217,-1.307,-0.321,-0.286,0.903,1,0,32.31,,,,,,,Random,N/A
0.75,-0.08,0.47,0.07,0.48,3.138,7.531,-1.203,-0.346,-0.237,0.908,1,0,53.5,,,,,,,Random,N/A
0.76,-0.08,0.49,0.07,0.5,2.929,8.158,-1.307,-0.427,-0.245,0.871,1,0,56.95,,,,,,,Random,N/A
0.77,-0.1,0.51,0.05,0.52,2.615,8.629,-1.517,-0.228,-0.221,0.948,1,0,78.27,,,,,,,Random,N/A
0.78,-0.1,0.52,0.04,0.53,2.144,9.309,-1.778,-0.326,-0.163,0.931,1,0,99.48,,,,,,,Random,N/A
0.79,-0.1,0.52,0.03,0.53,1.569,10.145,-2.04,-0.32,-0.096,0.942,1,0,112.15,,,,,,,Random,N/A
0.8,-0.09,0.53,0.04,0.53,0.941,11.087,-2.301,-0.319,-0.103,0.942,1,0,100.17,,,,,,,Random,N/A
0.81,-0.1,0.51,0.04,0.52,0.366,11.819,-2.562,-0.342,-0.182,0.922,1,0,81.83,,,,,,,Random,N/A
0.82,-0.1,0.51,0.03,0.53,-0.105,12.446,-2.824,-0.306,-0.245,0.92,1,0,77.42,,,,,,,Random,N/A
0.83,-0.1,0.53,0.02,0.54,-0.575,13.022,-3.138,-0.275,-0.262,0.925,1,0,73.63,,,,,,,Random,N/A
0.84,-0.1,0.53,0.04,0.54,-0.994,13.545,-3.452,-0.302,-0.351,0.887,1,0,66.51,,,,,,,Random,N/A
