Time,ForceX,ForceY,ForceZ,ForceRez,YawG,PitchG,RollG,AccelX,AccelY,AccelZ,AccRMS,RST,GyroRMS,,,,,,,Label,Technique
0.01,0.01,0.49,0.01,0.49,0.000,0.000,-0.057,0.01,-0.195,0.981,1,0,39.32,,,,,,,Random,N/A
0.02,0.01,0.48,0.02,0.49,-0.057,0.458,-0.229,-0.088,-0.225,0.97,1,0,39.33,,,,,,,Random,N/A
0.03,0.01,0.48,0.02,0.48,-0.057,0.802,-0.458,-0.015,-0.216,0.976,1,0,21.42,,,,,,,Random,N/A
0.04,0.01,0.48,0.03,0.48,-0.057,0.917,-0.745,-0.019,-0.271,0.962,1,0,18.11,,,,,,,Random,N/A
0.05,0.01,0.47,0.03,0.47,-0.057,1.031,-0.974,-0.013,-0.255,0.967,1,0,15.46,,,,,,,Random,N/A
0.06,0.01,0.48,0.03,0.48,-0.057,1.146,-1.146,-0.017,-0.259,0.966,1,0,9.99,,,,,,,Random,N/A
0.07,0.02,0.47,0.04,0.47,-0.057,1.203,-1.375,-0.015,-0.253,0.967,1,0,4.38,,,,,,,Random,N/A
0.08,0.02,0.47,0.05,0.47,-0.115,1.203,-1.490,-0.013,-0.243,0.97,1,0,3.57,,,,,,,Random,N/A
0.09,0.02,0.47,0.06,0.47,-0.115,1.203,-1.662,-0.008,-0.238,0.971,1,0,4.33,,,,,,,Random,N/A
0.1,0.01,0.46,0.06,0.47,-0.172,1.203,-1.776,-0.001,-0.232,0.973,1,0,4.35,,,,,,,Random,N/A
0.11,0.01,0.46,0.06,0.46,-0.229,1.203,-1.891,0.005,-0.244,0.97,1,0,5.51,,,,,,,Random,N/A
0.12,0.01,0.46,0.06,0.46,-0.229,1.146,-2.063,0.008,-0.246,0.969,1,0,9.18,,,,,,,Random,N/A
0.13,0.01,0.46,0.05,0.47,-0.229,1.031,-2.235,0.015,-0.249,0.968,1,0,11.99,,,,,,,Random,N/A
0.14,0.01,0.46,0.04,0.46,-0.229,0.974,-2.464,0.022,-0.259,0.966,1,0,14.07,,,,,,,Random,N/A
0.15,0.01,0.48,0.02,0.48,-0.229,0.859,-2.693,0.035,-0.272,0.962,1,0,15.36,,,,,,,Random,N/A
0.16,0.01,0.48,0.02,0.48,-0.172,0.745,-2.922,0.036,-0.272,0.962,1,0,14.61,,,,,,,Random,N/A
0.17,0.03,0.47,0.01,0.48,-0.172,0.688,-3.151,0.038,-0.273,0.961,1,0,14.61,,,,,,,Random,N/A
0.18,0.03,0.48,0.01,0.49,-0.115,0.630,-3.438,0.049,-0.279,0.959,1,0,14.6,,,,,,,Random,N/A
0.19,0.03,0.49,0.01,0.49,-0.057,0.630,-3.667,0.052,-0.296,0.954,1,0,15.39,,,,,,,Random,N/A
0.2,0.03,0.49,-0.01,0.49,-0.057,0.745,-3.896,0.073,-0.329,0.942,1,0,21.89,,,,,,,Random,N/A
0.21,0.02,0.48,0,0.48,-0.057,0.917,-4.068,0.08,-0.317,0.945,1,0,28.66,,,,,,,Random,N/A
0.22,0.03,0.49,-0.01,0.49,-0.115,1.146,-4.240,0.044,-0.307,0.951,1,0,28.24,,,,,,,Random,N/A
0.23,0.04,0.49,0,0.49,-0.286,1.375,-4.297,0.041,-0.268,0.963,1,0,32.45,,,,,,,Random,N/A
0.24,0.05,0.5,0,0.5,-0.458,1.604,-4.354,0.078,-0.205,0.976,1,0,30.2,,,,,,,Random,N/A
0.25,0.04,0.49,0,0.49,-0.688,1.490,-4.297,0.044,-0.284,0.958,1,0,53.54,,,,,,,Random,N/A
0.26,0.03,0.48,0.02,0.48,-1.089,1.375,-4.011,0.046,-0.292,0.955,1,0,71.31,,,,,,,Random,N/A
0.27,0.02,0.48,0.03,0.48,-1.662,1.662,-3.724,0.048,-0.263,0.964,1,0,79.53,,,,,,,Random,N/A
0.28,0.02,0.49,0.04,0.49,-2.177,1.948,-3.438,-0.003,-0.26,0.966,1,0,69.19,,,,,,,Random,N/A
0.29,0.01,0.49,0.04,0.49,-2.750,2.120,-3.209,-0.037,-0.177,0.984,1,0,64.94,,,,,,,Random,N/A
0.3,0,0.49,0.04,0.49,-3.209,2.406,-3.037,-0.093,-0.148,0.985,1,0,53.58,,,,,,,Random,N/A
0.31,0.01,0.49,0.04,0.5,-3.610,2.693,-2.865,-0.143,-0.145,0.979,1,0,43.13,,,,,,,Random,N/A
0.32,0.02,0.5,0.04,0.5,-3.896,3.037,-2.750,-0.141,-0.169,0.975,1,0,37.4,,,,,,,Random,N/A
0.33,0.03,0.51,0.05,0.51,-4.068,3.438,-2.750,-0.091,-0.165,0.982,1,0,35.11,,,,,,,Random,N/A
0.34,0.03,0.51,0.05,0.52,-4.011,3.724,-2.807,-0.093,-0.19,0.977,1,0,33.26,,,,,,,Random,N/A
0.35,0.02,0.52,0.04,0.52,-3.839,4.011,-3.037,-0.141,-0.16,0.977,1,0,44.88,,,,,,,Random,N/A
0.36,0.02,0.52,0.06,0.52,-3.495,4.297,-3.380,-0.143,-0.145,0.979,1,0,59.08,,,,,,,Random,N/A
0.37,0.02,0.52,0.06,0.52,-3.037,4.526,-3.724,-0.142,-0.154,0.978,1,0,66.98,,,,,,,Random,N/A
0.38,0.02,0.54,0.06,0.54,-2.464,4.813,-4.183,-0.156,-0.153,0.976,1,0,68.35,,,,,,,Random,N/A
0.39,0.02,0.52,0.04,0.52,-1.948,5.042,-4.584,-0.162,-0.159,0.974,1,0,64.42,,,,,,,Random,N/A
0.4,0,0.51,0.03,0.51,-1.432,5.214,-4.927,-0.149,-0.175,0.973,1,0,56.51,,,,,,,Random,N/A
0.41,0.01,0.5,0.03,0.5,-0.974,5.386,-5.214,-0.115,-0.203,0.972,1,0,45.61,,,,,,,Random,N/A
0.42,0,0.49,0.02,0.49,-0.573,5.500,-5.500,-0.076,-0.21,0.975,1,0,33.48,,,,,,,Random,N/A
0.43,-0.01,0.49,0.03,0.49,-0.344,5.615,-5.672,-0.109,-0.221,0.969,1,0,24.58,,,,,,,Random,N/A
0.44,-0.03,0.48,0.03,0.49,-0.229,5.844,-5.844,-0.133,-0.225,0.965,1,0,26.26,,,,,,,Random,N/A
0.45,-0.05,0.47,0.03,0.47,-0.229,6.131,-6.016,-0.147,-0.219,0.965,1,0,36.56,,,,,,,Random,N/A
0.46,-0.05,0.47,0.03,0.47,-0.344,6.646,-6.073,-0.203,-0.229,0.952,1,0,41.29,,,,,,,Random,N/A
0.47,-0.05,0.47,0.04,0.47,-0.458,6.990,-6.073,-0.236,-0.205,0.95,1,0,42.76,,,,,,,Random,N/A
0.48,-0.06,0.46,0.02,0.46,-0.688,7.391,-6.073,-0.227,-0.208,0.951,1,0,38.53,,,,,,,Random,N/A
0.49,-0.07,0.47,0.02,0.48,-0.917,7.735,-5.959,-0.223,-0.208,0.952,1,0,34.64,,,,,,,Random,N/A
0.5,-0.07,0.47,0.01,0.48,-1.089,8.021,-5.901,-0.214,-0.213,0.953,1,0,30.25,,,,,,,Random,N/A
0.51,-0.08,0.47,0.01,0.48,-1.261,8.193,-5.787,-0.212,-0.202,0.956,1,0,21.92,,,,,,,Random,N/A
0.52,-0.07,0.49,0.03,0.5,-1.375,8.308,-5.730,-0.172,-0.18,0.968,1,0,12.13,,,,,,,Random,N/A
0.53,-0.07,0.5,0.03,0.51,-1.432,8.308,-5.730,-0.158,-0.187,0.97,1,0,3.35,,,,,,,Random,N/A
0.54,-0.08,0.51,0.03,0.51,-1.375,8.365,-5.844,-0.141,-0.17,0.975,1,0,14,,,,,,,Random,N/A
0.55,-0.06,0.51,0.02,0.51,-1.318,8.365,-6.073,-0.156,-0.163,0.974,1,0,29.39,,,,,,,Random,N/A
0.56,-0.06,0.51,0.03,0.51,-1.146,8.537,-6.417,-0.153,-0.154,0.976,1,0,40.4,,,,,,,Random,N/A
0.57,-0.04,0.52,0.05,0.52,-0.859,8.709,-6.761,-0.171,-0.169,0.971,1,0,45.17,,,,,,,Random,N/A
0.58,-0.05,0.52,0.05,0.52,-0.516,8.824,-7.219,-0.172,-0.167,0.971,1,0,45.51,,,,,,,Random,N/A
0.59,-0.05,0.53,0.05,0.53,-0.286,8.824,-7.563,-0.045,-0.264,0.964,1,0,44.76,,,,,,,Random,N/A
0.6,-0.05,0.52,0.03,0.53,0.000,8.594,-7.907,-0.025,-0.275,0.961,1,0,39.57,,,,,,,Random,N/A
0.61,-0.05,0.53,0.06,0.53,0.172,8.422,-8.193,-0.05,-0.329,0.943,1,0,27.62,,,,,,,Random,N/A
0.62,-0.04,0.52,0.05,0.52,0.286,8.365,-8.537,-0.092,-0.328,0.94,1,0,19.81,,,,,,,Random,N/A
