Time,ForceX,ForceY,ForceZ,ForceRez,YawG,PitchG,RollG,AccelX,AccelY,AccelZ,AccRMS,RST,GyroRMS,,,,,,,Label,Technique
0.01,-0.01,0.49,-0.02,0.49,0.057,0.229,0.057,-0.016,0.007,1,1,0,79.1,,,,,,,Random,N/A
0.02,-0.03,0.51,-0.02,0.51,0.000,1.318,0.458,-0.09,0.053,0.995,1,0,96.78,,,,,,,Random,N/A
0.03,-0.05,0.51,-0.01,0.51,-0.115,2.063,0.745,-0.156,0.051,0.986,1,0,89,,,,,,,Random,N/A
0.04,-0.05,0.52,-0.01,0.53,-0.344,2.979,1.031,-0.171,0.032,0.985,1,0,75.66,,,,,,,Random,N/A
0.05,-0.06,0.52,-0.01,0.52,-0.516,3.782,1.261,-0.185,0.033,0.982,1,0,63.14,,,,,,,Random,N/A
0.06,-0.05,0.51,-0.01,0.51,-0.688,4.469,1.375,-0.187,0.027,0.982,1,0,54.06,,,,,,,Random,N/A
0.07,-0.05,0.51,-0.02,0.51,-0.859,5.099,1.375,-0.177,0.034,0.984,1,0,38.65,,,,,,,Random,N/A
0.08,-0.06,0.51,-0.02,0.51,-0.974,5.558,1.375,-0.178,0.019,0.984,1,0,31.1,,,,,,,Random,N/A
0.09,-0.06,0.51,-0.03,0.52,-1.031,5.959,1.432,-0.123,-0.002,0.992,1,0,24.09,,,,,,,Random,N/A
0.1,-0.06,0.52,-0.03,0.52,-1.089,6.188,1.375,-0.119,-0.019,0.993,1,0,12.1,,,,,,,Random,N/A
0.11,-0.06,0.53,-0.04,0.53,-1.146,6.303,1.261,-0.109,-0.03,0.994,1,0,13.59,,,,,,,Random,N/A
0.12,-0.06,0.54,-0.05,0.54,-1.203,6.474,1.146,-0.065,-0.021,0.998,1,0,15.07,,,,,,,Random,N/A
0.13,-0.06,0.54,-0.02,0.55,-1.318,6.532,1.031,-0.103,-0.043,0.994,1,0,30.03,,,,,,,Random,N/A
0.14,-0.05,0.54,-0.03,0.54,-1.490,6.761,0.802,-0.132,-0.014,0.991,1,0,56.96,,,,,,,Random,N/A
0.15,-0.03,0.54,-0.06,0.54,-1.833,7.334,0.516,-0.164,0.002,0.986,1,0,72.46,,,,,,,Random,N/A
0.16,-0.01,0.52,-0.05,0.52,-2.235,8.021,0.229,-0.19,-0.008,0.982,1,0,72.47,,,,,,,Random,N/A
0.17,-0.03,0.51,-0.05,0.51,-2.578,8.709,-0.115,-0.186,-0.028,0.982,1,0,63.74,,,,,,,Random,N/A
0.18,-0.03,0.52,-0.05,0.52,-2.979,9.167,-0.516,-0.065,-0.029,0.997,1,0,39.02,,,,,,,Random,N/A
0.19,-0.05,0.52,-0.05,0.52,-3.266,9.167,-0.802,-0.174,-0.149,0.973,1,0,34.98,,,,,,,Random,N/A
0.2,-0.06,0.51,-0.04,0.52,-3.552,9.225,-1.203,-0.139,-0.09,0.986,1,0,40.37,,,,,,,Random,N/A
0.21,-0.06,0.51,-0.03,0.51,-3.782,9.397,-1.547,-0.16,-0.102,0.982,1,0,30.28,,,,,,,Random,N/A
0.22,-0.06,0.5,-0.02,0.5,-4.011,9.511,-1.891,-0.148,-0.102,0.984,1,0,20.26,,,,,,,Random,N/A
0.23,-0.07,0.49,-0.03,0.5,-4.068,9.626,-2.120,-0.13,-0.103,0.986,1,0,13.67,,,,,,,Random,N/A
0.24,-0.07,0.49,-0.01,0.49,-4.068,9.568,-2.349,-0.117,-0.113,0.987,1,0,12.4,,,,,,,Random,N/A
0.25,-0.07,0.48,0,0.49,-4.011,9.626,-2.578,-0.136,-0.106,0.985,1,0,15.71,,,,,,,Random,N/A
0.26,-0.05,0.47,0,0.48,-4.011,9.683,-2.693,-0.144,-0.073,0.987,1,0,17.16,,,,,,,Random,N/A
0.27,-0.06,0.46,0.01,0.46,-3.953,9.683,-2.865,-0.134,-0.068,0.989,1,0,11.12,,,,,,,Random,N/A
0.28,-0.06,0.45,0,0.46,-3.953,9.683,-2.979,-0.124,-0.091,0.988,1,0,9.07,,,,,,,Random,N/A
0.29,-0.06,0.45,0.01,0.45,-4.011,9.683,-3.094,-0.125,-0.092,0.988,1,0,14.89,,,,,,,Random,N/A
0.3,-0.05,0.45,0,0.46,-4.068,9.740,-3.209,-0.132,-0.081,0.988,1,0,20.93,,,,,,,Random,N/A
0.31,-0.04,0.45,-0.01,0.46,-4.125,9.855,-3.323,-0.142,-0.073,0.987,1,0,18.5,,,,,,,Random,N/A
0.32,-0.03,0.45,0,0.45,-4.183,9.912,-3.380,-0.147,-0.07,0.987,1,0,11.94,,,,,,,Random,N/A
0.33,-0.03,0.45,-0.01,0.46,-4.183,9.912,-3.323,-0.14,-0.06,0.988,1,0,11.28,,,,,,,Random,N/A
0.34,-0.03,0.46,-0.01,0.46,-4.125,9.855,-3.266,-0.122,-0.053,0.991,1,0,13.29,,,,,,,Random,N/A
0.35,-0.04,0.48,-0.01,0.48,-4.068,9.798,-3.151,-0.138,-0.049,0.989,1,0,16.72,,,,,,,Random,N/A
0.36,-0.03,0.47,0,0.47,-4.011,9.855,-2.979,-0.159,-0.029,0.987,1,0,21.1,,,,,,,Random,N/A
0.37,-0.03,0.47,-0.02,0.47,-3.953,9.969,-2.750,-0.169,-0.029,0.985,1,0,16.88,,,,,,,Random,N/A
0.38,-0.03,0.47,-0.02,0.47,-3.896,10.027,-2.578,-0.161,-0.04,0.986,1,0,12.59,,,,,,,Random,N/A
0.39,-0.04,0.48,-0.01,0.49,-3.839,9.969,-2.464,-0.146,-0.051,0.988,1,0,11.68,,,,,,,Random,N/A
0.4,-0.04,0.49,-0.02,0.49,-3.839,9.912,-2.349,-0.134,-0.058,0.989,1,0,11.83,,,,,,,Random,N/A
0.41,-0.04,0.5,-0.01,0.5,-3.839,9.912,-2.292,-0.126,-0.071,0.989,1,0,14.15,,,,,,,Random,N/A
0.42,-0.04,0.51,0,0.51,-3.839,9.912,-2.292,-0.135,-0.069,0.988,1,0,19.36,,,,,,,Random,N/A
0.43,-0.05,0.5,0.02,0.5,-3.782,9.969,-2.235,-0.149,-0.051,0.988,1,0,23.59,,,,,,,Random,N/A
0.44,-0.06,0.51,0.02,0.51,-3.782,10.084,-2.235,-0.156,-0.046,0.987,1,0,24.64,,,,,,,Random,N/A
0.45,-0.06,0.51,0.02,0.52,-3.724,10.199,-2.177,-0.162,-0.033,0.986,1,0,24.9,,,,,,,Random,N/A
